,discharge,datetime
894,89.39492,1903-06-14
895,111.6986,1903-06-15
896,115.69243,1903-06-16
897,108.33705,1903-06-17
898,95.790565,1903-06-18
899,84.4655,1903-06-19
900,82.68501,1903-06-20
901,79.37606,1903-06-21
902,70.39945,1903-06-22
903,63.876255,1903-06-23
904,58.59688,1903-06-24
905,53.92604,1903-06-25
906,49.68228,1903-06-26
907,45.842278,1903-06-27
908,42.410557,1903-06-28
909,39.39112,1903-06-29
910,40.379505,1903-06-30
911,39.911663,1903-07-01
912,36.384087,1903-07-02
913,33.838703,1903-07-03
914,31.434343,1903-07-04
915,28.887978,1903-07-05
916,45.8949,1903-07-06
917,65.79926,1903-07-07
918,64.63065,1903-07-08
919,59.77809,1903-07-09
920,53.37548,1903-07-10
921,52.421963,1903-07-11
922,52.36683,1903-07-12
923,104.22235,1903-07-13
924,210.63739,1903-07-14
925,231.76414,1903-07-15
926,270.24142,1903-07-16
927,531.4073,1903-07-17
928,897.89526,1903-07-18
929,842.2652,1903-07-19
930,531.21,1903-07-20
931,324.3139,1903-07-21
932,222.80087,1903-07-22
933,169.68083,1903-07-23
934,147.3619,1903-07-24
935,135.77687,1903-07-25
936,117.83128,1903-07-26
937,117.426575,1903-07-27
938,179.19002,1903-07-28
939,219.17258,1903-07-29
940,175.44048,1903-07-30
941,143.19241,1903-07-31
942,117.03308,1903-08-01
943,93.782524,1903-08-02
944,131.2228,1903-08-03
945,199.25774,1903-08-04
946,199.00946,1903-08-05
947,171.3678,1903-08-06
948,138.5967,1903-08-07
949,110.54845,1903-08-08
950,101.174446,1903-08-09
951,135.89026,1903-08-10
952,201.54604,1903-08-11
953,217.52095,1903-08-12
954,187.64622,1903-08-13
955,147.20427,1903-08-14
956,156.95232,1903-08-15
957,232.63637,1903-08-16
958,256.90228,1903-08-17
959,244.53954,1903-08-18
960,236.28674,1903-08-19
961,204.35245,1903-08-20
962,185.18987,1903-08-21
963,174.21693,1903-08-22
964,235.29422,1903-08-23
965,356.6355,1903-08-24
966,341.70486,1903-08-25
967,263.1683,1903-08-26
968,191.81694,1903-08-27
969,142.6325,1903-08-28
970,110.687614,1903-08-29
971,89.92259,1903-08-30
972,76.23454,1903-08-31
973,66.796486,1903-09-01
974,59.94654,1903-09-02
975,54.689693,1903-09-03
976,50.441505,1903-09-04
977,46.917492,1903-09-05
978,43.943645,1903-09-06
979,65.291725,1903-09-07
980,97.24805,1903-09-08
981,104.80153,1903-09-09
982,103.033806,1903-09-10
983,104.66384,1903-09-11
984,102.703705,1903-09-12
985,91.539345,1903-09-13
986,84.92888,1903-09-14
987,80.09671,1903-09-15
988,84.18156,1903-09-16
989,138.74626,1903-09-17
990,254.21136,1903-09-18
991,310.2583,1903-09-19
992,268.9429,1903-09-20
993,207.68655,1903-09-21
994,159.29364,1903-09-22
